iter	Passed	Remaining
550	2704	2204
551	2709	2199
552	2714	2193
553	2718	2188
554	2723	2183
555	2728	2178
556	2733	2174
557	2739	2169
558	2743	2164
559	2749	2160
560	2753	2155
561	2758	2150
562	2763	2145
563	2769	2141
564	2774	2136
565	2779	2131
566	2785	2126
567	2790	2122
568	2795	2117
569	2800	2112
570	2805	2108
571	2811	2103
572	2816	2098
573	2821	2094
574	2826	2089
575	2831	2084
576	2836	2079
577	2841	2074
578	2846	2070
579	2852	2065
580	2856	2060
581	2861	2055
582	2866	2050
583	2871	2045
584	2876	2040
585	2882	2036
586	2887	2031
587	2892	2026
588	2897	2021
589	2901	2016
590	2907	2011
591	2912	2006
592	2916	2001
593	2921	1997
594	2926	1992
595	2931	1987
596	2936	1981
597	2940	1976
598	2945	1971
599	2950	1966
600	2955	1962
601	2961	1957
602	2966	1952
603	2970	1947
604	2975	1942
605	2981	1938
606	2986	1933
607	2992	1929
608	2997	1924
609	3002	1919
610	3007	1914
611	3012	1909
612	3017	1904
613	3023	1900
614	3028	1895
615	3034	1891
616	3039	1886
617	3044	1881
618	3049	1876
619	3053	1871
620	3059	1867
621	3064	1862
622	3069	1857
623	3075	1853
624	3081	1849
625	3086	1844
626	3091	1839
627	3096	1834
628	3101	1829
629	3106	1824
630	3111	1819
631	3116	1814
632	3120	1809
633	3125	1804
634	3130	1799
635	3135	1794
636	3140	1789
637	3145	1784
638	3150	1779
639	3155	1774
640	3159	1769
641	3164	1764
642	3169	1759
643	3173	1754
644	3178	1749
645	3183	1744
646	3187	1739
647	3192	1734
648	3197	1729
649	3202	1724
650	3207	1719
651	3211	1714
652	3216	1709
653	3221	1704
654	3226	1699
655	3230	1694
656	3235	1689
657	3240	1684
658	3244	1679
659	3249	1674
660	3254	1669
661	3259	1664
662	3263	1658
663	3269	1654
664	3274	1649
665	3278	1644
666	3283	1639
667	3288	1634
668	3293	1629
669	3298	1624
670	3303	1619
671	3308	1614
672	3312	1609
673	3317	1604
674	3322	1599
675	3327	1594
676	3331	1589
677	3336	1584
678	3340	1579
679	3345	1574
680	3350	1569
681	3355	1564
682	3360	1559
683	3364	1554
684	3369	1549
685	3374	1544
686	3379	1539
687	3383	1534
688	3388	1529
689	3393	1524
690	3398	1519
691	3402	1514
692	3407	1509
693	3412	1504
694	3416	1499
695	3421	1494
696	3426	1489
697	3431	1484
698	3436	1479
699	3441	1475
700	3447	1470
701	3452	1465
702	3457	1460
703	3462	1455
704	3466	1450
705	3471	1445
706	3476	1440
707	3481	1435
708	3486	1430
709	3490	1425
710	3495	1420
711	3500	1415
712	3504	1410
713	3510	1405
714	3514	1400
715	3519	1395
716	3525	1391
717	3530	1386
718	3534	1381
719	3538	1376
720	3543	1371
721	3549	1366
722	3553	1361
723	3558	1356
724	3563	1351
725	3568	1346
726	3573	1341
727	3577	1336
728	3582	1331
729	3587	1326
730	3592	1322
731	3598	1317
732	3602	1312
733	3606	1307
734	3611	1301
735	3615	1296
736	3620	1291
737	3624	1286
738	3629	1282
739	3634	1277
740	3639	1271
741	3643	1266
742	3648	1262
743	3653	1256
744	3658	1252
745	3663	1247
746	3668	1242
747	3674	1237
748	3679	1233
749	3684	1228
750	3690	1223
751	3695	1218
752	3700	1213
753	3705	1209
754	3711	1204
755	3715	1199
756	3720	1194
757	3725	1189
758	3730	1184
759	3736	1179
760	3741	1174
761	3746	1170
762	3752	1165
763	3756	1160
764	3761	1155
765	3767	1150
766	3772	1145
767	3777	1140
768	3782	1136
769	3787	1131
770	3792	1126
771	3797	1121
772	3802	1116
773	3807	1111
774	3812	1106
775	3817	1101
776	3822	1097
777	3827	1092
778	3832	1087
779	3836	1082
780	3841	1077
781	3846	1072
782	3851	1067
783	3856	1062
784	3861	1057
785	3866	1052
786	3871	1047
787	3876	1042
788	3881	1038
789	3886	1033
790	3891	1028
791	3896	1023
792	3901	1018
793	3906	1013
794	3911	1008
795	3916	1003
796	3921	998
797	3926	994
798	3932	989
799	3937	984
800	3942	979
801	3948	974
802	3953	969
803	3958	965
804	3963	960
805	3968	955
806	3973	950
807	3978	945
808	3983	940
809	3989	935
810	3993	930
811	3998	925
812	4003	920
813	4008	915
814	4012	910
815	4017	905
816	4022	900
817	4027	896
818	4031	890
819	4036	886
820	4041	881
821	4046	876
822	4051	871
823	4056	866
824	4061	861
825	4067	856
826	4072	851
827	4077	847
828	4083	842
829	4088	837
830	4093	832
831	4098	827
832	4103	822
833	4108	817
834	4113	812
835	4118	807
836	4123	803
837	4128	798
838	4134	793
839	4139	788
840	4144	783
841	4149	778
842	4154	773
843	4159	768
844	4164	763
845	4169	758
846	4174	754
847	4179	749
848	4184	744
849	4189	739
850	4195	734
851	4200	729
852	4205	724
853	4210	719
854	4215	714
855	4222	710
856	4227	705
857	4232	700
858	4238	695
859	4243	690
860	4248	685
861	4254	681
862	4259	676
863	4264	671
864	4269	666
865	4274	661
866	4279	656
867	4284	651
868	4289	646
869	4294	641
870	4299	636
871	4304	631
872	4309	626
873	4314	621
874	4319	617
875	4324	612
876	4329	607
877	4335	602
878	4340	597
879	4345	592
880	4351	587
881	4356	582
882	4361	577
883	4366	572
884	4371	568
885	4376	563
886	4382	558
887	4387	553
888	4392	548
889	4398	543
890	4402	538
891	4407	533
892	4413	528
893	4418	523
894	4423	519
895	4429	514
896	4434	509
897	4438	504
898	4443	499
899	4448	494
900	4453	489
901	4458	484
902	4463	479
903	4468	474
904	4473	469
905	4478	464
906	4482	459
907	4487	454
908	4492	449
909	4497	444
910	4503	439
911	4508	434
912	4512	430
913	4517	425
914	4523	420
915	4527	415
916	4532	410
917	4538	405
918	4543	400
919	4548	395
920	4554	390
921	4559	385
922	4564	380
923	4569	375
924	4574	370
925	4580	366
926	4585	361
927	4590	356
928	4595	351
929	4599	346
930	4604	341
931	4609	336
932	4614	331
933	4619	326
934	4624	321
935	4628	316
936	4633	311
937	4638	306
938	4643	301
939	4648	296
940	4653	291
941	4658	286
942	4663	281
943	4668	276
944	4673	271
945	4677	267
946	4682	262
947	4687	257
948	4692	252
949	4697	247
950	4703	242
951	4708	237
952	4713	232
953	4717	227
954	4723	222
955	4728	217
956	4733	212
957	4738	207
958	4743	202
959	4748	197
960	4753	192
961	4758	187
962	4763	183
963	4768	178
964	4773	173
965	4778	168
966	4784	163
967	4789	158
968	4793	153
969	4798	148
970	4803	143
971	4808	138
972	4813	133
973	4819	128
974	4824	123
975	4828	118
976	4833	113
977	4838	108
978	4844	103
979	4849	98
980	4854	94
981	4859	89
982	4864	84
983	4869	79
984	4874	74
985	4879	69
986	4884	64
987	4890	59
988	4895	54
989	4900	49
990	4906	44
991	4911	39
992	4916	34
993	4921	29
994	4926	24
995	4931	19
996	4936	14
997	4941	9
998	4946	4
999	4950	0
