iter	RMSE
141	100.6757561
142	100.6455533
143	100.5668382
144	100.4622525
145	100.4214783
146	100.3759821
147	100.3100567
148	100.2448557
149	100.174553
150	100.1291149
151	100.0864897
152	100.0419996
153	100.0151553
154	99.972003
155	99.88087717
156	99.74739614
157	99.63014138
158	99.57951949
159	99.54665655
160	99.50461271
161	99.40293103
162	99.33572395
163	99.25848197
164	99.21581101
165	99.14458928
166	99.10482832
167	99.03472217
168	98.97223463
169	98.93024648
170	98.83053597
171	98.75760657
172	98.7056025
173	98.6310548
174	98.58172596
175	98.52623516
176	98.45511572
177	98.41008798
178	98.36164995
179	98.30499574
180	98.26064082
181	98.20237538
182	98.14824428
183	98.05506126
184	97.97797878
185	97.94188393
186	97.88746785
187	97.84263889
188	97.78509956
189	97.74784406
190	97.70159583
191	97.65833294
192	97.5879537
193	97.55266157
194	97.49042198
195	97.43757332
196	97.40759725
197	97.33569778
198	97.29828512
199	97.21618701
200	97.17489935
201	97.13162164
202	97.06495057
203	97.01233361
204	96.96634383
205	96.91800278
206	96.88161343
207	96.82965948
208	96.78563785
209	96.75433074
210	96.69397221
211	96.65977055
212	96.63053885
213	96.58513422
214	96.53981592
215	96.50928853
216	96.4845886
217	96.44874432
218	96.42633336
219	96.39996234
220	96.33347584
221	96.27745279
222	96.23166466
223	96.19460114
224	96.1581326
225	96.09262566
226	96.04735923
227	96.02497829
228	95.95966778
229	95.91445113
230	95.86926283
231	95.8315791
232	95.80287197
233	95.76480619
234	95.71460683
235	95.6339816
236	95.61202375
237	95.57662687
238	95.54458555
239	95.47629083
240	95.45671535
241	95.42075969
242	95.36148671
243	95.28013678
244	95.22321328
245	95.18688783
246	95.14808255
247	95.10294185
248	95.03825315
249	94.99487159
250	94.96258261
251	94.9413678
252	94.90119978
253	94.86153981
254	94.82119501
255	94.78333046
256	94.75975618
257	94.72130586
258	94.64490725
259	94.56193006
260	94.54514294
261	94.50417812
262	94.45784735
263	94.43101136
264	94.38604132
265	94.32972865
266	94.30088588
267	94.23300313
268	94.21939365
269	94.18514968
270	94.14842118
271	94.11777494
272	94.09070208
273	94.06718425
274	94.0344932
275	94.01350587
276	93.99366829
277	93.96629447
278	93.94389884
279	93.90026568
280	93.87602477
281	93.80652765
282	93.79407141
283	93.77406914
284	93.75426701
285	93.73432525
286	93.71202138
287	93.67800068
288	93.66677246
289	93.64768781
290	93.6204018
291	93.54884156
292	93.51483516
293	93.50478724
294	93.42890901
295	93.41978284
296	93.39542552
297	93.32714224
298	93.28885167
299	93.26392577
300	93.19277303
301	93.17488854
302	93.14802687
303	93.11728052
304	93.09201831
305	93.07181105
306	93.05066059
307	92.99210999
308	92.97111839
309	92.92965615
310	92.91029952
311	92.86755213
312	92.830948
313	92.77292242
314	92.74696784
315	92.73067477
316	92.70905654
317	92.6379744
318	92.6218931
319	92.59806659
320	92.54774159
321	92.4916483
322	92.43507144
323	92.39292048
324	92.3600046
325	92.33039589
326	92.29665624
327	92.27237795
328	92.23874471
329	92.19408899
330	92.14112429
331	92.08908321
332	92.07296416
333	92.02585485
334	91.95513996
335	91.90641117
336	91.87557649
337	91.83924682
338	91.80718082
339	91.76653836
340	91.73160902
341	91.72456011
342	91.70520377
343	91.69850143
344	91.6703127
345	91.64798877
346	91.63046408
347	91.59830527
348	91.59250485
349	91.56657318
350	91.54774631
351	91.54171883
352	91.52829735
353	91.51146965
354	91.49608534
355	91.43987589
356	91.41511009
357	91.3766218
358	91.34722086
359	91.30806804
360	91.26338466
361	91.25252601
362	91.21763155
363	91.19106816
364	91.18439089
365	91.16782192
366	91.13163081
367	91.10638135
368	91.07802793
369	91.07262912
370	91.02923561
371	90.9972695
372	90.99228181
373	90.9377409
374	90.9209163
375	90.90081081
376	90.88191435
377	90.86682435
378	90.83628539
379	90.80090999
380	90.77778493
381	90.75859838
382	90.7137903
383	90.69595215
384	90.66237227
385	90.61941662
386	90.59315282
387	90.53299133
388	90.51103353
389	90.47777068
390	90.448959
391	90.42629555
392	90.39049453
393	90.34253513
394	90.30232869
395	90.27236368
396	90.23369122
397	90.19737173
398	90.18378223
399	90.16390545
400	90.08688742
401	90.03635469
402	89.995729
403	89.96878144
404	89.88694124
405	89.87325244
406	89.83316477
407	89.81944709
408	89.77288854
409	89.74775695
410	89.70486926
411	89.69792371
412	89.67021569
413	89.63925122
414	89.59374859
415	89.58223412
416	89.54456009
417	89.52410228
418	89.50070617
419	89.44498057
420	89.41840309
421	89.38126857
422	89.35867548
423	89.30847912
424	89.26277253
425	89.23327539
426	89.19125272
427	89.15366135
428	89.11969277
429	89.09037677
430	89.06888993
431	89.04770786
432	89.01852094
433	88.95975105
434	88.94059363
435	88.91659081
436	88.88217275
437	88.8557447
438	88.81984175
439	88.77448154
440	88.73565219
441	88.65117505
442	88.62148018
443	88.58378374
444	88.52058773
445	88.49659414
446	88.48868212
447	88.45774248
448	88.43026594
449	88.42789411
450	88.4053622
451	88.37013068
452	88.32936628
453	88.32593391
454	88.29132489
455	88.28600501
456	88.26404044
457	88.24066241
458	88.23507733
459	88.2149991
460	88.20144638
461	88.16864838
462	88.14813886
463	88.10698524
464	88.08823863
465	88.07015989
466	88.04677661
467	88.02261236
468	88.00566469
469	87.99038351
470	87.9633184
471	87.89989454
472	87.88645481
473	87.8622915
474	87.84846833
475	87.82686277
476	87.81919574
477	87.78939215
478	87.76718561
479	87.7305009
480	87.69826133
481	87.68760719
482	87.67589101
483	87.65281133
484	87.64774516
485	87.63360349
486	87.57209658
487	87.55408758
488	87.53985793
489	87.50451844
490	87.49392598
491	87.4814938
492	87.46037979
493	87.42138798
494	87.40096063
495	87.36021152
496	87.34782281
497	87.31718493
498	87.28223078
499	87.24137402
500	87.20569007
501	87.14995312
502	87.12965991
503	87.09338338
504	87.0706468
505	87.0454677
506	87.02670089
507	87.00528493
508	86.98409966
509	86.96197983
510	86.95082732
511	86.89104036
512	86.87060917
513	86.85722382
514	86.8413956
515	86.80276388
516	86.78504476
517	86.75932948
518	86.70361373
519	86.69852312
520	86.66921842
521	86.62365378
522	86.57105481
523	86.56703151
524	86.48424574
525	86.4658335
526	86.40835886
527	86.3811638
528	86.37391426
529	86.3548037
530	86.32575428
531	86.31806467
532	86.26258178
533	86.2523956
534	86.23016526
535	86.19145558
536	86.17563817
537	86.160417
538	86.1295534
539	86.11342693
540	86.0462306
541	86.0056804
542	85.9808079
543	85.96213148
544	85.94670093
545	85.87797146
546	85.87385165
547	85.8577482
548	85.84627069
549	85.79243059
550	85.78367394
551	85.76541747
552	85.73921538
553	85.72883616
554	85.69733793
555	85.66162821
556	85.60152623
557	85.57056605
558	85.54693974
559	85.53726218
560	85.51441521
561	85.49511461
562	85.43876782
563	85.40614065
564	85.38601211
565	85.36103785
566	85.35313485
567	85.30774884
568	85.29280672
569	85.2812361
570	85.23550565
571	85.20911622
572	85.18015867
573	85.16632222
574	85.13251103
575	85.08383884
576	85.03372569
577	85.01778839
578	84.98956019
579	84.9833062
580	84.95035603
581	84.92203459
582	84.91318003
583	84.87687779
584	84.86615352
585	84.84217139
586	84.8271212
587	84.80753179
588	84.79393879
589	84.77438792
590	84.73487976
591	84.72314207
592	84.70629895
593	84.68194047
594	84.65649067
595	84.62467239
596	84.61414446
597	84.56742138
598	84.55561402
599	84.54658649
600	84.52225061
601	84.49726471
602	84.48010134
603	84.43223059
604	84.42449457
605	84.39151736
606	84.37609535
607	84.36177664
608	84.34826788
609	84.31296752
610	84.30572733
611	84.26551659
612	84.23674918
613	84.21176674
614	84.18274344
615	84.14741288
616	84.13469441
617	84.08166171
618	84.06032962
619	84.02789302
620	84.00636187
621	83.98140436
622	83.95646211
623	83.91268347
624	83.88942279
625	83.86352429
626	83.83929037
627	83.82591864
628	83.8026583
629	83.78711017
630	83.7388922
631	83.7208866
632	83.71634973
633	83.69533493
634	83.65470875
635	83.63408003
636	83.61377238
637	83.59179614
638	83.58182851
639	83.57438377
640	83.55261007
641	83.5371332
642	83.51656307
643	83.47602498
644	83.46621806
645	83.44134835
646	83.43584455
647	83.40742576
648	83.39597801
649	83.36204971
650	83.31442285
651	83.30332086
652	83.23896254
653	83.20721372
654	83.19596516
655	83.11965169
656	83.10612695
657	83.08410467
658	83.01616085
659	82.99377914
660	82.96804114
661	82.95076313
662	82.92998806
663	82.91655589
664	82.89859434
665	82.86656643
666	82.83879448
667	82.82950173
668	82.79415672
669	82.77932699
670	82.75434488
671	82.71670085
672	82.7013454
673	82.68494133
674	82.67273326
675	82.65265619
676	82.62754177
677	82.61602604
678	82.5942319
679	82.53578117
680	82.51884971
681	82.4762511
682	82.46825735
683	82.44984067
684	82.42659258
685	82.40097429
686	82.37244702
687	82.36520199
688	82.34098056
689	82.31935223
690	82.29989384
691	82.27567732
692	82.25204787
693	82.21305489
694	82.20175519
695	82.1737959
696	82.16376024
697	82.14344832
698	82.12284223
699	82.09020147
700	82.07839075
701	82.06907557
702	82.05217954
703	82.02007985
704	81.99462911
705	81.97734234
706	81.92781703
707	81.87697151
708	81.86476833
709	81.83792667
710	81.81899648
711	81.79673906
712	81.78772972
713	81.77541996
714	81.73774511
715	81.72674485
716	81.69566724
717	81.68588495
718	81.65975528
719	81.64979286
720	81.62968973
721	81.61561309
722	81.59177558
723	81.5537903
724	81.5324999
725	81.52247584
726	81.49033677
727	81.46477399
728	81.43670431
729	81.42773392
730	81.40767956
731	81.37944828
732	81.3610788
733	81.32999699
734	81.31441766
735	81.30807511
736	81.29130163
737	81.27626581
738	81.23295923
739	81.22141308
740	81.21440949
741	81.20632609
742	81.19742531
743	81.18056748
744	81.14044209
745	81.11617608
746	81.10722337
747	81.1027078
748	81.06689915
749	81.0390472
750	81.02420343
751	81.00632156
752	80.99904219
753	80.99095596
754	80.97299019
755	80.96163252
756	80.94730265
757	80.93122092
758	80.91535139
759	80.89474297
760	80.87611879
761	80.85803184
762	80.8424028
763	80.82508178
764	80.79667578
765	80.7806399
766	80.77523536
767	80.77019028
768	80.73492706
769	80.71962999
770	80.70135096
771	80.69043089
772	80.67627718
773	80.65403994
774	80.63484638
775	80.6114266
776	80.59719049
777	80.59001077
778	80.565917
779	80.5483497
780	80.52835943
781	80.51463023
782	80.48532616
783	80.47396535
784	80.46730258
785	80.45099867
786	80.42610005
787	80.41371971
788	80.40582338
789	80.4008592
790	80.37326387
791	80.36717999
792	80.34759155
793	80.33617707
794	80.31970269
795	80.30110676
796	80.28497938
797	80.27813064
798	80.26119498
799	80.22410016
800	80.19200373
801	80.17740198
802	80.15891943
803	80.13175694
804	80.11585595
805	80.07878473
806	80.06385414
807	80.04702239
808	80.01565835
809	80.00528935
810	79.97442917
811	79.94410816
812	79.92175643
813	79.908156
814	79.8942724
815	79.86991002
816	79.85481529
817	79.83384346
818	79.82437303
819	79.78987077
820	79.77214949
821	79.75966328
822	79.7443686
823	79.72119799
824	79.70270695
825	79.68491571
826	79.66835048
827	79.63548153
828	79.61215204
829	79.59666497
830	79.58814795
831	79.55259447
832	79.54532869
833	79.53225989
834	79.51836511
835	79.51061751
836	79.49484825
837	79.4823889
838	79.42334757
839	79.413832
840	79.36445881
841	79.35268878
842	79.32249456
843	79.31106475
844	79.29637525
845	79.28217458
846	79.25992569
847	79.24676567
848	79.20229487
849	79.17733027
850	79.1475939
851	79.12106114
852	79.10869927
853	79.0851563
854	79.0814363
855	79.06542954
856	79.04522411
857	79.04018876
858	79.01949651
859	78.98765479
860	78.94957807
861	78.9134878
862	78.89664031
863	78.85537373
864	78.83505644
865	78.81658256
866	78.76686591
867	78.75319102
868	78.73801888
869	78.73020116
870	78.70716753
871	78.6948535
872	78.66857568
873	78.64868872
874	78.60436289
875	78.59257856
876	78.58796247
877	78.57210942
878	78.55196822
879	78.54448014
880	78.52606914
881	78.52111122
882	78.51568814
883	78.4998535
884	78.46907354
885	78.45775914
886	78.45101968
887	78.43662406
888	78.41986411
889	78.40591244
890	78.40280397
891	78.38921008
892	78.37009911
893	78.35270189
894	78.33699393
895	78.31047634
896	78.29619132
897	78.25951841
898	78.25124333
899	78.23803902
900	78.18655676
901	78.16942101
902	78.15643786
903	78.14867245
904	78.14049627
905	78.1134912
906	78.10339006
907	78.07519464
908	78.0639479
909	78.04659528
910	78.03237859
911	78.01008858
912	77.98589114
913	77.97558706
914	77.9610106
915	77.9477276
916	77.93557458
917	77.92666361
918	77.91022484
919	77.88832266
920	77.87377807
921	77.86740093
922	77.85734367
923	77.84675845
924	77.82716239
925	77.82215723
926	77.81261755
927	77.80535153
928	77.7986937
929	77.76703486
930	77.75427292
931	77.73809185
932	77.7254924
933	77.71694945
934	77.70569922
935	77.69762304
936	77.69061519
937	77.64914653
938	77.62601181
939	77.60047741
940	77.59142056
941	77.57255725
942	77.56036633
943	77.52524116
944	77.51503979
945	77.47912282
946	77.46719757
947	77.4379344
948	77.41096765
949	77.40127744
950	77.37915277
951	77.3656484
952	77.34577211
953	77.33937121
954	77.30739162
955	77.29500926
956	77.25097138
957	77.2400281
958	77.20851931
959	77.19969184
960	77.17915412
961	77.16153405
962	77.14891383
963	77.14153405
964	77.12883757
965	77.11245919
966	77.09288753
967	77.08366557
968	77.06914378
969	77.03181604
970	77.00401413
971	76.99410367
972	76.97046158
973	76.95298967
974	76.93825564
975	76.91812244
976	76.9105961
977	76.89693721
978	76.88814713
979	76.86566467
980	76.85674797
981	76.84408284
982	76.82466454
983	76.81022586
984	76.79993614
985	76.78567859
986	76.77387467
987	76.74495404
988	76.73312849
989	76.7030433
990	76.68697398
991	76.66681988
992	76.62362668
993	76.60782219
994	76.58620525
995	76.56006778
996	76.5440875
997	76.51504892
998	76.50701422
999	76.48923995
